model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko,working_time, working_time1,working_time2
2,12,48000,1000,125,66232070,0,0.543184768,0,543184768
2,12,48000,1000,125,64459490,0,0.519597792,0,519597792
2,12,48000,1000,125,64429766,0,0.520124065,0,520124065
2,12,48000,1000,125,64144000,0,0.519508049,0,519508049
2,12,48000,2000,125,228652308,0,1.798477904,1,798477904
2,12,48000,2000,125,238251648,0,1.888874945,1,888874945
2,12,48000,2000,125,228385158,0,1.793089570,1,793089570
2,12,48000,2000,125,231306415,0,1.853441839,1,853441839
2,12,48000,2000,125,229439049,0,1.829242326,1,829242326
2,12,48000,2000,125,234811350,0,1.892019764,1,892019764
2,12,48000,2000,125,226466828,0,1.787241095,1,787241095
2,12,48000,2000,125,223974707,0,1.788955941,1,788955941
2,12,48000,2000,125,226838896,0,1.819732291,1,819732291
2,12,48000,2000,125,227931973,0,1.822260584,1,822260584
2,12,48000,3000,125,496308117,0,3.968785469,3,968785469
2,12,48000,3000,125,496377880,0,3.971397339,3,971397339
2,12,48000,3000,125,495513990,0,3.957749831,3,957749831
2,12,48000,3000,125,498042548,0,3.989967112,3,989967112
2,12,48000,3000,125,498522588,0,3.982511660,3,982511660
2,12,48000,3000,125,499682193,0,4.573774000,4,573774
2,12,48000,3000,125,501062499,0,4.740104000,4,7401040
2,12,48000,3000,125,500496399,0,4.907828000,4,907828
2,12,48000,3000,125,496944712,0,3.963963296,3,963963296
2,12,48000,3000,125,495812757,0,3.964956957,3,964956957
0,24,48000,1000,125,44461129,0,0.358260539,0,358260539
0,24,48000,1000,125,45377630,0,0.372930932,0,372930932
0,24,48000,1000,125,45929997,0,0.363168558,0,363168558
0,24,48000,1000,125,46435611,0,0.364520219,0,364520219
0,24,48000,1000,125,46513858,0,0.371429293,0,371429293
0,24,48000,1000,125,47057985,0,0.373260766,0,373260766
0,24,48000,1000,125,45819584,0,0.367043560,0,367043560
0,24,48000,1000,125,46961427,0,0.366270493,0,366270493
0,24,48000,1000,125,45104133,0,0.360518938,0,360518938
0,24,48000,1000,125,45581731,0,0.370789426,0,370789426
0,24,48000,2000,125,135894000,0,1.129117625,1,129117625
0,24,48000,2000,125,138996043,0,1.801241530,1,80124153
0,24,48000,2000,125,136175311,0,1.104574364,1,104574364
0,24,48000,2000,125,138589122,0,1.124334556,1,124334556
0,24,48000,2000,125,140099312,0,1.901248630,1,90124863
0,24,48000,2000,125,137045121,0,1.101551441,1,101551441
0,24,48000,2000,125,137893751,0,1.104052283,1,104052283
0,24,48000,2000,125,138525097,0,1.956393920,1,95639392
0,24,48000,2000,125,136419451,0,1.976133130,1,97613313
0,24,48000,2000,125,138016919,0,1.959331640,1,95933164
0,24,48000,3000,125,289316520,0,2.279834511,2,279834511
0,24,48000,3000,125,286567748,0,2.304204808,2,304204808
0,24,48000,3000,125,289460319,0,2.319714037,2,319714037
0,24,48000,3000,125,287959834,0,2.279409608,2,279409608
0,24,48000,3000,125,286026001,0,2.277315666,2,277315666
0,24,48000,3000,125,286162659,0,2.322385557,2,322385557
0,24,48000,3000,125,290151845,0,2.320290950,2,320290950
0,24,48000,3000,125,289307243,0,2.306610973,2,306610973
0,24,48000,3000,125,289470633,0,2.317440480,2,317440480
0,24,48000,3000,125,290317127,0,2.311194419,2,311194419
