model, npl, buffer_size, problem_size, power_limit, energy_used_RAPL, energy_used_yoko,working_time, working_time1, working_time2
1,6,48000,3000,125,181285181,0,1.816988020,1,816988020
1,6,48000,3000,125,180542812,0,1.820505919,1,820505919
1,6,48000,3000,125,181652306,0,1.845632123,1,845632123
1,6,48000,3000,125,181159388,0,1.823277634,1,823277634
1,6,48000,4000,125,547043034,0,5.860558257,5,860558257
1,6,48000,4000,125,554383347,0,5.867875456,5,867875456
1,6,48000,4000,125,549188780,0,5.864371162,5,864371162
1,6,48000,4000,125,546884281,0,5.856413814,5,856413814
1,6,48000,4000,125,548803282,0,5.842366314,5,842366314
1,6,48000,4000,125,547777712,0,5.851569576,5,851569576
1,6,48000,4000,125,550211665,0,5.864886844,5,864886844
1,6,48000,4000,125,548751891,0,5.857975295,5,857975295
1,6,48000,4000,125,551382744,0,5.867350017,5,867350017
1,6,48000,4000,125,550492609,0,5.838798484,5,838798484
2,6,48000,2000,125,33157081,0,0.291853287,0,291853287
2,6,48000,2000,125,33080725,0,0.291386762,0,291386762
2,6,48000,2000,125,33084999,0,0.289435562,0,289435562
2,6,48000,2000,125,32893409,0,0.298135286,0,298135286
2,6,48000,2000,125,32646217,0,0.294168780,0,294168780
2,6,48000,2000,125,32379433,0,0.286036190,0,286036190
2,6,48000,2000,125,32655617,0,0.290011047,0,290011047
2,6,48000,2000,125,32722389,0,0.294407132,0,294407132
2,6,48000,2000,125,33198096,0,0.292724580,0,292724580
2,6,48000,2000,125,33111061,0,0.300648345,0,300648345
2,6,48000,3000,125,185477186,0,1.887389837,1,887389837
2,6,48000,3000,125,182368368,0,1.868529889,1,868529889
2,6,48000,3000,125,184382035,0,1.878482294,1,878482294
2,6,48000,3000,125,183055135,0,1.858835874,1,858835874
2,6,48000,3000,125,187540535,0,1.865282766,1,865282766
2,6,48000,3000,125,184848342,0,1.880111784,1,880111784
2,6,48000,3000,125,188482489,0,1.894420511,1,894420511
2,6,48000,3000,125,184163591,0,1.885605300,1,885605300
2,6,48000,3000,125,185762830,0,1.871861052,1,871861052
2,6,48000,3000,125,182683431,0,1.882067514,1,882067514
2,6,48000,4000,125,535682161,0,5.793498778,5,793498778
2,6,48000,4000,125,535133884,0,5.781481340,5,781481340
2,6,48000,4000,125,536735442,0,5.777098412,5,777098412
2,6,48000,4000,125,535106663,0,5.798104826,5,798104826
2,6,48000,4000,125,537592251,0,5.789725592,5,789725592
2,6,48000,4000,125,539514488,0,5.810747100,5,810747100
2,6,48000,4000,125,532488627,0,5.751962222,5,751962222
2,6,48000,4000,125,535583834,0,5.790389128,5,790389128
2,6,48000,4000,125,531556317,0,5.748168058,5,748168058
2,6,48000,4000,125,533498634,0,5.762329164,5,762329164
0,12,48000,2000,125,29150011,0,0.202485228,0,202485228
0,12,48000,2000,125,29330369,0,0.195006067,0,195006067
0,12,48000,2000,125,29355455,0,0.195522103,0,195522103
0,12,48000,2000,125,29603135,0,0.196326941,0,196326941
0,12,48000,2000,125,29819137,0,0.198414052,0,198414052
0,12,48000,2000,125,28141834,0,0.200320257,0,200320257
0,12,48000,2000,125,29730393,0,0.199646277,0,199646277
0,12,48000,2000,125,29871871,0,0.199296555,0,199296555
0,12,48000,2000,125,29675766,0,0.211799284,0,211799284
0,12,48000,2000,125,29527573,0,0.201099947,0,201099947
0,12,48000,3000,125,159877337,0,1.199973723,1,199973723
0,12,48000,3000,125,158427451,0,1.192883779,1,192883779
0,12,48000,3000,125,158995625,0,1.185479417,1,185479417
0,12,48000,3000,125,158825094,0,1.190342044,1,190342044
0,12,48000,3000,125,159377522,0,1.190139812,1,190139812
0,12,48000,3000,125,159536518,0,1.189636354,1,189636354
0,12,48000,3000,125,159927508,0,1.197716010,1,197716010
0,12,48000,3000,125,158926840,0,1.185714219,1,185714219
0,12,48000,3000,125,159135579,0,1.184681769,1,184681769
0,12,48000,3000,125,158846578,0,1.183859660,1,183859660
0,12,48000,4000,125,618954043,0,5.216736636,5,216736636
0,12,48000,4000,125,620530027,0,5.220776510,5,220776510
0,12,48000,4000,125,621768489,0,5.235065005,5,235065005
0,12,48000,4000,125,620541624,0,5.213123398,5,213123398
0,12,48000,4000,125,620651914,0,5.204151309,5,204151309
0,12,48000,4000,125,621391964,0,5.227466007,5,227466007
0,12,48000,4000,125,619721436,0,5.216048600,5,216048600
0,12,48000,4000,125,619729249,0,5.213688758,5,213688758
0,12,48000,4000,125,621979914,0,5.234641387,5,234641387
0,12,48000,4000,125,621391964,0,5.220696319,5,220696319
1,12,48000,2000,125,30477400,0,0.209608386,0,209608386
1,12,48000,2000,125,31040326,0,0.208234751,0,208234751
1,12,48000,2000,125,30796247,0,0.208444889,0,208444889
1,12,48000,2000,125,30341658,0,0.204731619,0,204731619
1,12,48000,2000,125,30533125,0,0.205421319,0,205421319
1,12,48000,2000,125,30645917,0,0.209057006,0,209057006
1,12,48000,2000,125,30515120,0,0.208280160,0,208280160
1,12,48000,2000,125,30694379,0,0.206033511,0,206033511
1,12,48000,2000,125,30883832,0,0.212012662,0,212012662
1,12,48000,2000,125,30584516,0,0.215023845,0,215023845
1,12,48000,3000,125,140640326,0,1.124945672,1,124945672
1,12,48000,3000,125,142583985,0,1.139104083,1,139104083
1,12,48000,3000,125,138652172,0,1.107218597,1,107218597
1,12,48000,3000,125,141483830,0,1.121397488,1,121397488
1,12,48000,3000,125,142214724,0,1.136008542,1,136008542
1,12,48000,3000,125,140983404,0,1.125500139,1,125500139
1,12,48000,3000,125,139299814,0,1.112112537,1,112112537
